Length,Width,Height,Period-x,Period-y
60,60,400,150,150
60,80,400,150,150
60,100,400,150,150
60,120,400,150,150
60,130,400,150,150
60,400,400,150,150
80,60,400,150,150
80,80,400,150,150
80,100,400,150,150
80,120,400,150,150
80,130,400,150,150
80,400,400,150,150
100,60,400,150,150
100,80,400,150,150
100,100,400,150,150
100,120,400,150,150
100,130,400,150,150
100,400,400,150,150
120,60,400,150,150
120,80,400,150,150
120,100,400,150,150
120,120,400,150,150
120,130,400,150,150
120,400,400,150,150
130,60,400,150,150
130,80,400,150,150
130,100,400,150,150
130,120,400,150,150
130,130,400,150,150
130,400,400,150,150
400,60,400,150,150
400,80,400,150,150
400,100,400,150,150
400,120,400,150,150
400,130,400,150,150
400,400,400,150,150
60,60,600,150,150
60,80,600,150,150
60,100,600,150,150
60,120,600,150,150
60,130,600,150,150
60,400,600,150,150
80,60,600,150,150
80,80,600,150,150
80,100,600,150,150
80,120,600,150,150
80,130,600,150,150
80,400,600,150,150
100,60,600,150,150
100,80,600,150,150
100,100,600,150,150
100,120,600,150,150
100,130,600,150,150
100,400,600,150,150
120,60,600,150,150
120,80,600,150,150
120,100,600,150,150
120,120,600,150,150
120,130,600,150,150
120,400,600,150,150
130,60,600,150,150
130,80,600,150,150
130,100,600,150,150
130,120,600,150,150
130,130,600,150,150
130,400,600,150,150
400,60,600,150,150
400,80,600,150,150
400,100,600,150,150
400,120,600,150,150
400,130,600,150,150
400,400,600,150,150
60,60,400,150,175
60,80,400,150,175
60,100,400,150,175
60,120,400,150,175
60,130,400,150,175
60,400,400,150,175
80,60,400,150,175
80,80,400,150,175
80,100,400,150,175
80,120,400,150,175
80,130,400,150,175
80,400,400,150,175
100,60,400,150,175
100,80,400,150,175
100,100,400,150,175
100,120,400,150,175
100,130,400,150,175
100,400,400,150,175
120,60,400,150,175
120,80,400,150,175
120,100,400,150,175
120,120,400,150,175
120,130,400,150,175
120,400,400,150,175
140,60,400,150,175
140,80,400,150,175
140,100,400,150,175
140,120,400,150,175
140,130,400,150,175
140,400,400,150,175
160,60,400,150,175
160,80,400,150,175
160,100,400,150,175
160,120,400,150,175
160,130,400,150,175
160,400,400,150,175
400,60,400,150,175
400,80,400,150,175
400,100,400,150,175
400,120,400,150,175
400,130,400,150,175
400,400,400,150,175
60,60,600,150,175
60,80,600,150,175
60,100,600,150,175
60,120,600,150,175
60,130,600,150,175
60,400,600,150,175
80,60,600,150,175
80,80,600,150,175
80,100,600,150,175
80,120,600,150,175
80,130,600,150,175
80,400,600,150,175
100,60,600,150,175
100,80,600,150,175
100,100,600,150,175
100,120,600,150,175
100,130,600,150,175
100,400,600,150,175
120,60,600,150,175
120,80,600,150,175
120,100,600,150,175
120,120,600,150,175
120,130,600,150,175
120,400,600,150,175
140,60,600,150,175
140,80,600,150,175
140,100,600,150,175
140,120,600,150,175
140,130,600,150,175
140,400,600,150,175
160,60,600,150,175
160,80,600,150,175
160,100,600,150,175
160,120,600,150,175
160,130,600,150,175
160,400,600,150,175
400,60,600,150,175
400,80,600,150,175
400,100,600,150,175
400,120,600,150,175
400,130,600,150,175
400,400,600,150,175
60,60,400,150,200
60,80,400,150,200
60,100,400,150,200
60,120,400,150,200
60,130,400,150,200
60,400,400,150,200
80,60,400,150,200
80,80,400,150,200
80,100,400,150,200
80,120,400,150,200
80,130,400,150,200
80,400,400,150,200
100,60,400,150,200
100,80,400,150,200
100,100,400,150,200
100,120,400,150,200
100,130,400,150,200
100,400,400,150,200
120,60,400,150,200
120,80,400,150,200
120,100,400,150,200
120,120,400,150,200
120,130,400,150,200
120,400,400,150,200
140,60,400,150,200
140,80,400,150,200
140,100,400,150,200
140,120,400,150,200
140,130,400,150,200
140,400,400,150,200
160,60,400,150,200
160,80,400,150,200
160,100,400,150,200
160,120,400,150,200
160,130,400,150,200
160,400,400,150,200
180,60,400,150,200
180,80,400,150,200
180,100,400,150,200
180,120,400,150,200
180,130,400,150,200
180,400,400,150,200
400,60,400,150,200
400,80,400,150,200
400,100,400,150,200
400,120,400,150,200
400,130,400,150,200
400,400,400,150,200
60,60,600,150,200
60,80,600,150,200
60,100,600,150,200
60,120,600,150,200
60,130,600,150,200
60,400,600,150,200
80,60,600,150,200
80,80,600,150,200
80,100,600,150,200
80,120,600,150,200
80,130,600,150,200
80,400,600,150,200
100,60,600,150,200
100,80,600,150,200
100,100,600,150,200
100,120,600,150,200
100,130,600,150,200
100,400,600,150,200
120,60,600,150,200
120,80,600,150,200
120,100,600,150,200
120,120,600,150,200
120,130,600,150,200
120,400,600,150,200
140,60,600,150,200
140,80,600,150,200
140,100,600,150,200
140,120,600,150,200
140,130,600,150,200
140,400,600,150,200
160,60,600,150,200
160,80,600,150,200
160,100,600,150,200
160,120,600,150,200
160,130,600,150,200
160,400,600,150,200
180,60,600,150,200
180,80,600,150,200
180,100,600,150,200
180,120,600,150,200
180,130,600,150,200
180,400,600,150,200
400,60,600,150,200
400,80,600,150,200
400,100,600,150,200
400,120,600,150,200
400,130,600,150,200
400,400,600,150,200
60,60,400,175,150
60,80,400,175,150
60,100,400,175,150
60,120,400,175,150
60,140,400,175,150
60,160,400,175,150
60,400,400,175,150
80,60,400,175,150
80,80,400,175,150
80,100,400,175,150
80,120,400,175,150
80,140,400,175,150
80,160,400,175,150
80,400,400,175,150
100,60,400,175,150
100,80,400,175,150
100,100,400,175,150
100,120,400,175,150
100,140,400,175,150
100,160,400,175,150
100,400,400,175,150
120,60,400,175,150
120,80,400,175,150
120,100,400,175,150
120,120,400,175,150
120,140,400,175,150
120,160,400,175,150
120,400,400,175,150
130,60,400,175,150
130,80,400,175,150
130,100,400,175,150
130,120,400,175,150
130,140,400,175,150
130,160,400,175,150
130,400,400,175,150
400,60,400,175,150
400,80,400,175,150
400,100,400,175,150
400,120,400,175,150
400,140,400,175,150
400,160,400,175,150
400,400,400,175,150
60,60,600,175,150
60,80,600,175,150
60,100,600,175,150
60,120,600,175,150
60,140,600,175,150
60,160,600,175,150
60,400,600,175,150
80,60,600,175,150
80,80,600,175,150
80,100,600,175,150
80,120,600,175,150
80,140,600,175,150
80,160,600,175,150
80,400,600,175,150
100,60,600,175,150
100,80,600,175,150
100,100,600,175,150
100,120,600,175,150
100,140,600,175,150
100,160,600,175,150
100,400,600,175,150
120,60,600,175,150
120,80,600,175,150
120,100,600,175,150
120,120,600,175,150
120,140,600,175,150
120,160,600,175,150
120,400,600,175,150
130,60,600,175,150
130,80,600,175,150
130,100,600,175,150
130,120,600,175,150
130,140,600,175,150
130,160,600,175,150
130,400,600,175,150
400,60,600,175,150
400,80,600,175,150
400,100,600,175,150
400,120,600,175,150
400,140,600,175,150
400,160,600,175,150
400,400,600,175,150
60,60,400,175,175
60,80,400,175,175
60,100,400,175,175
60,120,400,175,175
60,140,400,175,175
60,160,400,175,175
60,400,400,175,175
80,60,400,175,175
80,80,400,175,175
80,100,400,175,175
80,120,400,175,175
80,140,400,175,175
80,160,400,175,175
80,400,400,175,175
100,60,400,175,175
100,80,400,175,175
100,100,400,175,175
100,120,400,175,175
100,140,400,175,175
100,160,400,175,175
100,400,400,175,175
120,60,400,175,175
120,80,400,175,175
120,100,400,175,175
120,120,400,175,175
120,140,400,175,175
120,160,400,175,175
120,400,400,175,175
140,60,400,175,175
140,80,400,175,175
140,100,400,175,175
140,120,400,175,175
140,140,400,175,175
140,160,400,175,175
140,400,400,175,175
160,60,400,175,175
160,80,400,175,175
160,100,400,175,175
160,120,400,175,175
160,140,400,175,175
160,160,400,175,175
160,400,400,175,175
400,60,400,175,175
400,80,400,175,175
400,100,400,175,175
400,120,400,175,175
